trial_id,condition,modality,hand,site,p2_latency_ms,p2_amp_uv,p2_reason,p3_latency_ms,p3_amp_uv,p3_reason,cnv_mean_uv,cnv_slope_uv_per_s,cnv_onset_s
141,trial,VA,left,O1+O2,150.0,1.0999320893738436,,560.0,6.126723845214344,,-2.2237025728080684,1.1474332150503306,0.354
145,trial,VA,left,O1+O2,230.0,-2.1599478606205915,,390.0,3.4235049469586105,,1.130107510820315,-2.792401667237033,
146,trial,VA,left,O1+O2,202.0,1.784282633861898,,414.0,6.706491060751578,,-0.4254297894311334,-1.5497913916632315,
147,trial,VA,left,O1+O2,160.0,-5.900605031998845,,548.0,-6.625154066921893,,-4.788993476770868,-6.956822018968377,0.3
149,trial,VA,left,O1+O2,250.0,6.012649703546847,,332.0,6.714070355963019,,-3.7991348242237466,2.969422092851447,0.3
153,trial,VA,left,O1+O2,238.0,1.9805384594985578,,476.0,5.331709193778014,,-0.9494157313545621,-2.583946137693059,0.436
154,trial,VA,left,O1+O2,250.0,1.0945408040680649,,598.0,4.8148806748411825,,-2.7865084123274007,1.8161366378614539,0.3
157,trial,VA,left,O1+O2,226.0,2.895058937922093,,396.0,12.782318913181129,,-6.110662801544879,1.8839178248150716,0.3
159,trial,VA,left,O1+O2,250.0,7.642399595763679,,396.0,7.5397966508113505,,-6.613431099907114,0.07462649027445803,0.3
160,trial,VA,left,O1+O2,210.0,1.4029336820400373,,508.0,3.9630615705736503,,-1.1224198803298622,-8.337823510834355,0.738
161,trial,VA,left,O1+O2,250.0,2.0603101022978225,,532.0,5.2743931830604325,,-2.0820271362803946,7.055477105837038,0.3
164,trial,VA,left,O1+O2,150.0,6.022521435929029,,596.0,10.06075522213377,,-3.6132821113213125,-1.2093356482135267,0.3
166,trial,VA,left,O1+O2,248.0,7.330088098379123,,300.0,10.550362722488028,,-5.2281724136179255,-0.9939351958159095,0.3
168,trial,VA,left,O1+O2,224.0,-2.0384027009654724,,460.0,4.6138465623519185,,-3.6239230100316018,0.1469420564683021,0.3
169,trial,VA,left,O1+O2,160.0,2.6545116336111514,,548.0,4.8223609620590056,,0.38604587378159094,0.17221599094612686,
-1,avg,VA,left,O1+O2,250.0,-0.04040066847332065,,582.0,3.28784996612401,,-2.621500707603663,-1.8524204566867004,0.3
115,trial,VA,right,O1+O2,240.0,3.381274320484002,,352.0,10.667408540400816,,-3.510150975377268,-4.365957686225942,0.3
116,trial,VA,right,O1+O2,230.0,-2.433148519208884,,600.0,1.018044414569236,,0.37210345219935886,-3.5395379942049146,
