modality,hand,band,trial_in_group,orig_epoch_index,channel,ers_onset_s,ers_peak_s,ers_peak_amp,detected,thr_percent,min_dur_s,search_start_s,search_end_s
VA,right,beta,9,129,C3,6.38,7.816,203.8916590022072,True,30.0,0.15,6.25,8.5
VA,right,beta,10,133,C3,,7.89,12.747462006581628,False,30.0,0.15,6.25,8.5
VA,right,beta,11,135,C3,7.114,7.166,52.020635186316134,True,30.0,0.15,6.25,8.5
VA,right,beta,12,137,C3,7.202,7.472,86.51069117633487,True,30.0,0.15,6.25,8.5
VA,right,beta,13,141,C3,6.25,6.42,67.00934387824606,True,30.0,0.15,6.25,8.5
VA,right,beta,14,142,C3,6.762,7.164,65.3517268638147,True,30.0,0.15,6.25,8.5
VA,right,beta,15,143,C3,,8.458,52.148829597315014,False,30.0,0.15,6.25,8.5
VA,right,beta,16,147,C3,6.25,6.358,177.2837650960715,True,30.0,0.15,6.25,8.5
VA,right,beta,17,149,C3,,7.51,44.29595764075472,False,30.0,0.15,6.25,8.5
VA,right,beta,18,150,C3,7.196,7.864,99.16488713042378,True,30.0,0.15,6.25,8.5
VA,right,beta,19,151,C3,6.284,6.608,174.22203152010658,True,30.0,0.15,6.25,8.5
VA,right,beta,20,154,C3,6.468,6.764,140.90199358234247,True,30.0,0.15,6.25,8.5
VA,right,beta,21,155,C3,6.25,7.7,206.70122098325226,True,30.0,0.15,6.25,8.5
VA,right,beta,22,157,C3,6.656,6.8,119.72482217487062,True,30.0,0.15,6.25,8.5
VA,right,beta,23,161,C3,,8.5,241.33987591680307,False,30.0,0.15,6.25,8.5
VA,right,beta,24,162,C3,,6.3,10.506889351678053,False,30.0,0.15,6.25,8.5
VA,right,beta,25,164,C3,6.344,8.498,418.26611160365013,True,30.0,0.15,6.25,8.5
VA,right,beta,26,166,C3,7.502,7.662,67.5402513128251,True,30.0,0.15,6.25,8.5
VA,right,beta,27,169,C3,6.25,8.33,166.15621279437912,True,30.0,0.15,6.25,8.5
