modality,model,time_s,mean_bal_acc,sem_bal_acc
VA,CSP+LDA,-1.7000000000000002,0.35333333333333333,0.03778594682918211
VA,CSP+LDA,-1.6,0.32,0.034721111093332764
VA,CSP+LDA,-1.5,0.3466666666666667,0.0652771867585538
VA,CSP+LDA,-1.4,0.38666666666666666,0.06442049363362562
VA,CSP+LDA,-1.2999999999999998,0.4133333333333334,0.10143416036468625
VA,CSP+LDA,-1.2000000000000002,0.37666666666666665,0.07933753490274602
VA,CSP+LDA,-1.1,0.35,0.07546154281781181
VA,CSP+LDA,-1.0,0.36666666666666664,0.09646530752325189
VA,CSP+LDA,-0.8999999999999999,0.38,0.030912061651652348
VA,CSP+LDA,-0.7999999999999998,0.4166666666666667,0.07799572637865061
VA,CSP+LDA,-0.7000000000000002,0.4133333333333334,0.06798692684790379
VA,CSP+LDA,-0.6000000000000001,0.45,0.07226494462892934
VA,CSP+LDA,-0.5,0.4366666666666667,0.07912718313646147
VA,CSP+LDA,-0.40000000000000036,0.47000000000000003,0.06200358412579425
VA,CSP+LDA,-0.2999999999999998,0.45,0.0760116950066092
VA,CSP+LDA,-0.20000000000000018,0.45,0.0651920240520265
VA,CSP+LDA,-0.09999999999999964,0.46333333333333326,0.07137537701787952
VA,CSP+LDA,0.0,0.42666666666666664,0.047316898555261305
VA,CSP+LDA,0.09999999999999964,0.42666666666666664,0.047316898555261305
VA,CSP+LDA,0.20000000000000018,0.42666666666666664,0.05286250509051236
VA,CSP+LDA,0.2999999999999998,0.4766666666666667,0.04760952285695232
VA,CSP+LDA,0.40000000000000036,0.47333333333333333,0.04847679857416328
VA,CSP+LDA,0.5,0.4333333333333333,0.06302556800396344
VA,CSP+LDA,0.5999999999999996,0.4533333333333333,0.06398784606817488
VA,CSP+LDA,0.7000000000000002,0.39666666666666667,0.09149984820873869
VA,CSP+LDA,0.7999999999999998,0.37666666666666665,0.07121953539740498
VA,CSP+LDA,0.9000000000000004,0.39666666666666667,0.04294699575575043
VA,CSP+LDA,1.0,0.4033333333333333,0.05512611802847077
VA,CSP+LDA,1.0999999999999996,0.38666666666666666,0.04870546398734153
VA,CSP+LDA,1.2000000000000002,0.4166666666666667,0.0316227766016838
VA,CSP+LDA,1.2999999999999998,0.4033333333333333,0.08323327326122514
VA,CSP+LDA,1.4000000000000004,0.38333333333333336,0.07302967433402215
VA,CSP+LDA,1.5,0.31,0.08701851654804409
