modality,hand,band,trial,delta_erd_onset_s,delta_erd_peak_s,delta_pmbr_peak_s,delta_erd_amp_pct,delta_pmbr_amp_pct
A,right,mu,27,-0.5319999999999999,-2.036,,-2.0698013,
A,right,mu,28,0.776,-0.5799999999999998,,-1.4596176,
A,right,mu,29,-0.36,0.3959999999999999,,-1.3675919,
A,right,mu,30,0.26,-1.4200000000000002,,-11.330322,
V,left,beta,0,-0.43200000000000005,2.66,0.0,-7.597374,-41.63392639160156
V,left,beta,1,0.076,1.3120000000000003,1.6399999999999997,-5.758835,-5.1810760498046875
V,left,beta,2,-0.30800000000000005,-2.38,1.2279999999999998,-6.7313995,-149.90939331054688
V,left,beta,3,-0.596,-1.2359999999999998,0.3800000000000008,7.262474,-256.6376953125
V,left,beta,4,1.6280000000000001,-0.2719999999999998,-0.28000000000000025,-2.6772614,199.315673828125
V,left,beta,5,0.504,0.40000000000000013,0.5,2.533455,128.47494506835938
V,left,beta,6,-0.02799999999999997,-0.6,-0.02400000000000002,0.10696411,34.16725158691406
V,left,beta,7,-0.14,0.616,1.032,-0.7790451,-98.64593505859375
V,left,beta,8,,,,,
V,left,beta,9,0.196,-0.276,-0.976,6.467613,-232.4680633544922
V,left,beta,10,1.208,0.41999999999999993,-2.064,8.445,208.0735626220703
V,left,beta,11,0.19199999999999998,-2.436,-0.5120000000000005,-16.029121,60.14552307128906
V,left,beta,12,,,,,
V,left,beta,13,-0.432,0.6599999999999999,-0.6359999999999992,-7.820793,-143.8699951171875
V,left,beta,14,0.9000000000000001,-0.6599999999999999,-1.0359999999999996,2.2262268,-123.73849487304688
V,left,beta,15,-0.908,2.752,-0.3280000000000012,12.18074,85.77615356445312
V,left,beta,16,-0.32399999999999995,-3.344,-0.8959999999999999,1.8562927,-677.7640991210938
V,left,beta,17,1.228,-2.264,-1.2079999999999993,-18.670143,-151.54933166503906
V,left,beta,18,0.8519999999999999,0.3599999999999999,-1.3280000000000003,11.747314,-160.44393920898438
V,left,beta,19,0.1279999999999999,1.2239999999999998,-0.29600000000000026,-8.255486,-159.52725219726562
V,left,beta,20,-0.9400000000000001,0.07200000000000006,1.4560000000000004,-13.762527,-4.14910888671875
V,left,beta,21,0.416,-0.21599999999999997,0.0,-8.872314,214.7679901123047
V,left,beta,22,0.08400000000000007,0.996,0.28800000000000026,3.7537613,92.94491577148438
V,left,beta,23,,,,,
V,left,beta,24,-0.088,-3.06,1.3600000000000003,-25.652683,-154.0155792236328
V,left,beta,25,,,,,
V,left,beta,26,-1.1,-0.10400000000000009,0.011999999999999567,-12.237595,-146.63206481933594
V,left,mu,0,0.368,-3.192,,-3.0549011,
V,left,mu,1,-0.076,0.8520000000000003,,9.049561,
V,left,mu,2,,,,,
V,left,mu,3,0.07600000000000001,-1.484,,7.9215393,
V,left,mu,4,0.047999999999999994,0.02799999999999958,,11.252884,
V,left,mu,5,,,,,
V,left,mu,6,0.772,0.6800000000000002,,21.040443,
V,left,mu,7,-0.372,-2.9559999999999995,,-3.2101822,
V,left,mu,8,0.18,-3.3120000000000003,,10.055183,
V,left,mu,9,0.156,-0.42799999999999994,,11.326569,
V,left,mu,10,,,,,
V,left,mu,11,-0.24,-1.3639999999999999,,-27.90358,
V,left,mu,12,,,,,
V,left,mu,13,-0.792,-2.3520000000000003,,-0.7952652,
V,left,mu,14,,,,,
V,left,mu,15,,,,,
V,left,mu,16,,,,,
V,left,mu,17,,,,,
V,left,mu,18,0.736,1.7520000000000002,,-12.067062,
V,left,mu,19,-0.14799999999999996,1.4360000000000002,,-11.70916,
V,left,mu,20,-0.536,0.532,,5.898323,
V,left,mu,21,0.09199999999999997,1.056,,-14.484337,
V,left,mu,22,-0.352,2.472,,6.606056,
V,left,mu,23,,,,,
V,left,mu,24,-0.336,1.2800000000000002,,5.7147064,
V,left,mu,25,-1.296,-0.3679999999999999,,4.785759,
V,right,beta,0,0.076,0.3639999999999999,-0.6560000000000006,2.7052612,61.78826904296875
V,right,beta,1,0.17200000000000004,-0.6319999999999999,0.008000000000000007,1.3194199,-82.8494873046875
V,right,beta,2,-1.632,0.21199999999999997,-1.1479999999999997,11.680977,-160.35850524902344
V,right,beta,3,0.14400000000000002,-2.644,0.020000000000000462,4.260071,110.85890197753906
V,right,beta,4,,,,,
V,right,beta,5,,,,,
V,right,beta,6,0.8720000000000001,1.2559999999999998,0.019999999999999574,-3.4732475,-51.94136047363281
V,right,beta,7,-0.023999999999999994,1.016,0.011999999999999567,16.22113,13.364715576171875
V,right,beta,8,0.5559999999999999,-1.812,0.16799999999999926,-12.482948,-21.59722900390625
V,right,beta,9,-0.244,-3.356,0.02800000000000047,0.06459808,-31.482261657714844
V,right,beta,10,-1.244,-1.176,-0.12799999999999923,-6.2318954,88.5283203125
V,right,beta,11,,,,,
V,right,beta,12,,,,,
V,right,beta,13,,,,,
V,right,beta,14,-0.6799999999999999,0.34399999999999986,-0.1120000000000001,-0.563385,-572.5126953125
V,right,beta,15,,,,,
V,right,beta,16,,,,,
V,right,beta,17,-0.12,-1.7959999999999998,-1.1560000000000006,-14.073677,56.650909423828125
V,right,beta,18,,,,,
V,right,beta,19,0.9840000000000001,-1.456,-0.3119999999999994,-7.7580566,-50.93659210205078
V,right,beta,20,-0.9840000000000001,0.5399999999999996,-0.09999999999999964,3.8182526,-3.28790283203125
V,right,beta,21,-1.048,3.5679999999999996,0.03199999999999914,21.863373,-101.6794204711914
V,right,beta,22,,0.17600000000000005,-1.6839999999999993,5.1674957,44.338531494140625
V,right,beta,23,-0.152,2.78,0.32399999999999984,-13.338654,-69.34895324707031
V,right,beta,24,-1.6920000000000002,0.6360000000000001,-1.7479999999999993,-9.287109,314.1284484863281
V,right,beta,25,0.02400000000000002,1.8880000000000001,-0.1120000000000001,7.1828613,101.17671203613281
V,right,beta,26,,,,,
V,right,mu,0,-0.512,-2.6239999999999997,,-5.9203415,
V,right,mu,1,0.224,-0.6599999999999999,,-2.1346054,
V,right,mu,2,-0.09599999999999997,-2.58,,7.3039703,
V,right,mu,3,0.604,-0.13599999999999968,,24.694859,
V,right,mu,4,-0.592,0.484,,5.658043,
V,right,mu,5,-0.024,-0.9160000000000001,,11.321419,
V,right,mu,6,0.66,1.052,,4.553467,
V,right,mu,7,1.3,-1.0240000000000002,,-24.958885,
V,right,mu,8,0.13599999999999995,1.2960000000000003,,-19.731407,
V,right,mu,9,-0.86,1.2399999999999998,,-19.948677,
V,right,mu,10,0.28800000000000003,1.6480000000000001,,5.8074417,
V,right,mu,11,-0.596,-0.31199999999999983,,-25.782135,
V,right,mu,12,-0.9280000000000002,-0.492,,-5.542244,
V,right,mu,13,-1.256,0.492,,-14.921036,
V,right,mu,14,-0.44,3.636,,-23.488846,
V,right,mu,15,0.944,-0.6720000000000002,,18.686455,
V,right,mu,16,-0.448,1.9160000000000004,,-5.4169464,
V,right,mu,17,,,,,
V,right,mu,18,-0.04799999999999999,-1.1480000000000001,,-5.0419464,
V,right,mu,19,-0.68,0.6119999999999997,,10.440468,
V,right,mu,20,0.2,2.752,,10.862373,
V,right,mu,21,0.044,-1.7040000000000002,,-7.010559,
V,right,mu,22,-0.016000000000000014,-2.7960000000000003,,-15.300262,
V,right,mu,23,0.348,-2.5039999999999996,,9.217705,
V,right,mu,24,,0.6960000000000002,,43.23957,
V,right,mu,26,0.264,1.072,,5.7252884,
VA,left,beta,0,-0.96,-3.2,-0.5,8.435951,211.5435333251953
VA,left,beta,1,-0.248,2.6839999999999997,1.6600000000000001,-0.5078659,-2.46392822265625
VA,left,beta,2,,,,,
VA,left,beta,3,-0.328,-0.42799999999999994,0.5960000000000001,11.968292,11.512619018554688
VA,left,beta,4,-0.016,-1.8399999999999999,-0.612000000000001,-1.931633,-53.38396453857422
VA,left,beta,5,-0.04,1.6640000000000001,-0.5920000000000005,6.289238,-40.119110107421875
VA,left,beta,6,0.464,1.0839999999999996,-0.5839999999999996,12.586891,24.102867126464844
VA,left,beta,7,-0.14399999999999996,-1.3319999999999999,0.020000000000000462,6.5583496,142.7977752685547
VA,left,beta,8,0.656,0.812,2.1560000000000006,16.764587,91.10556030273438
VA,left,beta,9,,,,,
VA,left,beta,10,0.02799999999999997,-3.136,-0.6279999999999992,-1.0536423,-65.97367858886719
VA,left,beta,11,0.384,-3.644,0.8919999999999995,5.7817917,132.97962951660156
VA,left,beta,12,-0.956,2.5360000000000005,-0.14399999999999924,-15.7547455,-180.461669921875
VA,left,beta,13,,,,,
VA,left,beta,14,,-1.6320000000000001,1.0039999999999996,-6.707138,-36.11878967285156
VA,left,beta,15,0.09199999999999997,0.5,-0.6079999999999997,-7.5893555,-38.33467102050781
VA,left,beta,16,0.132,-2.016,0.6920000000000002,-3.7767258,-250.2786407470703
VA,left,beta,17,0.032,-0.011999999999999567,1.8080000000000007,8.614357,-68.95823669433594
VA,left,beta,18,0.08400000000000002,0.07200000000000006,-1.1640000000000006,1.5510178,55.6195068359375
VA,left,beta,19,-0.636,2.816,-0.5279999999999996,5.617386,20.972076416015625
VA,left,beta,20,,,,,
VA,left,beta,21,0.6199999999999999,-1.3239999999999998,0.9359999999999999,-5.89032,-5.168426513671875
VA,left,beta,22,0.348,0.08399999999999963,-0.48799999999999955,-30.414837,-65.1002197265625
VA,left,beta,23,,,,,
VA,left,beta,24,,-2.6239999999999997,0.516,-8.496506,2.0055999755859375
VA,left,beta,25,0.516,-1.432,0.4480000000000004,15.929825,39.941741943359375
VA,left,beta,26,,,,,
VA,left,mu,0,0.584,0.252,,3.0310135,
VA,left,mu,1,0.452,0.09200000000000008,,6.6143265,
VA,left,mu,2,,,,,
VA,left,mu,3,-0.396,1.1480000000000001,,10.580536,
VA,left,mu,4,,,,,
VA,left,mu,5,0.372,0.33199999999999996,,-14.347572,
VA,left,mu,6,,,,,
VA,left,mu,7,-0.31200000000000006,-0.1519999999999997,,10.923256,
VA,left,mu,8,0.14400000000000002,-1.956,,16.804428,
VA,left,mu,9,,,,,
VA,left,mu,10,0.22800000000000004,-0.484,,17.422928,
VA,left,mu,11,-0.472,-0.348,,-9.477455,
VA,left,mu,12,-0.268,3.1959999999999997,,4.512413,
VA,left,mu,13,0.0,-0.45599999999999996,,-13.930054,
VA,left,mu,14,,,,,
VA,left,mu,15,0.364,-3.2319999999999998,,21.437302,
VA,left,mu,16,-0.14,0.37600000000000033,,18.214165,
VA,left,mu,17,-0.156,-0.9199999999999999,,-12.927361,
VA,left,mu,18,-0.368,-1.96,,1.5664291,
VA,left,mu,19,-0.596,1.1320000000000001,,2.246994,
VA,left,mu,20,0.188,-1.468,,9.923309,
VA,left,mu,21,0.176,-1.1800000000000002,,-23.110836,
VA,left,mu,22,0.304,3.832,,-0.16789246,
VA,left,mu,23,,,,,
VA,left,mu,24,,-2.7920000000000003,,39.686073,
VA,left,mu,25,0.172,3.18,,0.5385132,
VA,left,mu,26,0.32,-3.2159999999999997,,-6.972206,
VA,right,beta,0,0.436,-0.552,0.8799999999999999,3.025406,122.74908447265625
