modality,hand,channel,band,trial,erd_onset_s,erd_peak_s,erd_peak_amp_pct,pmbr_peak_s,pmbr_amp_pct
A,left,C3,mu,20,1.244,3.388,-84.9798,,
A,left,C3,mu,21,0.992,1.124,-74.32267,,
A,left,C3,mu,22,0.708,0.944,-92.00899,,
A,left,C3,mu,23,0.464,1.736,-91.85014,,
A,left,C3,mu,24,0.0,1.344,-76.28272,,
A,left,C3,mu,25,0.0,4.228,-97.97285,,
A,left,C3,mu,26,0.0,1.176,-87.57782,,
A,left,C3,beta,0,0.264,0.876,-82.83427,8.292,104.394745
A,left,C3,beta,1,0.62,0.724,-90.38309,8.252,177.77985
A,left,C3,beta,2,0.0,0.804,-86.173355,7.812,147.45996
A,left,C3,beta,3,0.456,0.72,-88.84134,7.492,106.63902
A,left,C3,beta,4,0.588,0.892,-88.53909,7.108,78.25528
A,left,C3,beta,5,0.144,2.556,-87.22061,6.512,140.72336
A,left,C3,beta,6,0.0,1.808,-86.0955,8.428,154.87915
A,left,C3,beta,7,0.248,0.628,-84.62734,7.932,195.92244
A,left,C3,beta,8,0.232,0.9,-76.31216,6.948,472.2359
A,left,C3,beta,9,0.148,2.956,-77.59169,8.264,95.553314
A,left,C3,beta,10,0.008,0.6,-73.92689,8.384,203.3611
A,left,C3,beta,11,0.876,4.1,-81.55909,8.316,129.63171
A,left,C3,beta,12,0.048,3.376,-80.20685,7.308,114.52925
A,left,C3,beta,13,3.448,2.344,-75.41125,6.924,129.3184
A,left,C3,beta,14,,2.016,-77.058784,7.392,186.32704
A,left,C3,beta,15,0.488,1.424,-80.62192,7.564,165.49654
A,left,C3,beta,16,0.0,3.7,-92.111084,7.504,101.68887
A,left,C3,beta,17,0.9,3.592,-70.482506,6.476,141.69437
A,left,C3,beta,18,0.564,1.92,-85.87,7.456,289.65216
A,left,C3,beta,19,0.02,1.304,-61.241127,6.548,224.93742
A,left,C3,beta,20,0.188,4.332,-66.192024,6.452,83.15326
A,left,C3,beta,21,0.212,2.268,-88.70569,8.5,195.45282
A,left,C3,beta,22,0.212,1.404,-79.58352,6.98,201.89287
A,left,C3,beta,23,0.5,1.704,-79.26759,6.696,133.64406
A,left,C3,beta,24,0.452,1.22,-92.12428,7.968,111.254486
A,left,C3,beta,25,0.08,4.2,-87.26519,7.928,148.12733
A,left,C3,beta,26,0.156,4.092,-89.66779,7.704,314.13467
A,left,C4,mu,0,2.164,3.944,-81.77169,,
A,left,C4,mu,1,0.232,1.268,-92.957565,,
A,left,C4,mu,2,0.0,4.5,-87.562035,,
A,left,C4,mu,3,0.136,3.436,-87.9671,,
A,left,C4,mu,4,0.0,1.576,-94.85171,,
A,left,C4,mu,5,0.152,3.688,-91.41861,,
A,left,C4,mu,6,0.152,2.088,-90.5174,,
A,left,C4,mu,7,0.572,0.712,-65.61176,,
A,left,C4,mu,8,0.824,2.036,-60.988033,,
A,left,C4,mu,9,0.552,1.384,-79.32926,,
A,left,C4,mu,10,0.048,1.668,-96.0558,,
A,left,C4,mu,11,0.228,2.032,-86.27033,,
A,left,C4,mu,12,0.0,2.248,-89.595665,,
A,left,C4,mu,13,0.528,1.284,-79.355064,,
A,left,C4,mu,14,0.42,2.64,-89.58545,,
A,left,C4,mu,15,0.16,1.98,-88.55776,,
A,left,C4,mu,16,0.0,3.096,-92.07808,,
A,left,C4,mu,17,0.088,2.112,-84.318184,,
A,left,C4,mu,18,0.296,1.184,-91.12955,,
A,left,C4,mu,19,0.0,1.984,-92.45141,,
A,left,C4,mu,20,0.068,2.412,-94.13899,,
A,left,C4,mu,21,0.152,1.72,-92.49079,,
A,left,C4,mu,22,0.0,1.844,-86.835495,,
A,left,C4,mu,23,0.116,2.068,-91.68138,,
A,left,C4,mu,24,0.0,2.828,-77.41463,,
A,left,C4,mu,25,0.872,1.0,-86.797714,,
A,left,C4,mu,26,0.032,1.68,-93.9415,,
A,left,C4,beta,0,0.184,2.228,-81.981804,8.128,88.986496
A,left,C4,beta,1,0.948,1.56,-71.23217,6.5,139.91153
A,left,C4,beta,2,0.048,1.436,-77.69903,7.896,60.209965
A,left,C4,beta,3,0.472,4.308,-93.78523,7.14,106.68756
A,left,C4,beta,4,0.7,1.588,-72.86768,8.456,118.79785
A,left,C4,beta,5,0.176,2.776,-88.7786,6.3,152.10062
A,left,C4,beta,6,0.0,3.252,-91.58948,6.628,93.387924
A,left,C4,beta,7,0.236,1.788,-75.9641,8.04,280.06717
A,left,C4,beta,8,0.228,0.9,-76.321556,6.948,463.93536
A,left,C4,beta,9,3.412,3.476,-65.91855,8.092,571.94446
A,left,C4,beta,10,0.208,1.584,-70.708,8.184,180.09126
A,left,C4,beta,11,0.108,0.916,-87.404434,6.392,135.4513
A,left,C4,beta,12,0.048,3.376,-80.20685,7.308,114.52925
A,left,C4,beta,13,3.448,2.344,-75.41125,6.924,129.3184
A,left,C4,beta,14,0.88,0.928,-77.90108,7.72,116.66717
A,left,C4,beta,15,1.408,3.32,-89.5683,8.312,141.4903
A,left,C4,beta,16,1.656,1.756,-72.27712,8.484,183.2889
A,left,C4,beta,17,0.192,3.928,-85.21155,7.144,98.244514
A,left,C4,beta,18,0.528,1.572,-83.13148,7.448,175.78174
A,left,C4,beta,19,0.024,3.092,-65.29299,6.548,289.65097
A,left,C4,beta,20,0.84,1.172,-88.16735,6.448,218.72249
A,left,C4,beta,21,1.084,1.16,-93.44175,6.996,155.29729
A,left,C4,beta,22,2.064,1.796,-66.39803,6.94,331.70068
A,left,C4,beta,23,0.452,1.676,-84.79108,6.932,198.32988
A,left,C4,beta,24,0.816,1.748,-88.42796,6.872,200.84859
A,left,C4,beta,25,2.304,4.128,-75.37674,7.752,307.91284
A,left,C4,beta,26,0.456,1.676,-82.011566,7.08,163.61713
A,right,C3,mu,0,0.0,4.42,-90.64532,,
A,right,C3,mu,1,1.004,1.152,-80.65954,,
A,right,C3,mu,2,0.856,2.808,-88.517166,,
A,right,C3,mu,3,0.176,2.072,-94.66393,,
A,right,C3,mu,4,1.408,1.972,-81.07123,,
A,right,C3,mu,5,1.408,2.056,-84.74941,,
A,right,C3,mu,6,0.052,2.948,-92.39097,,
A,right,C3,mu,7,1.948,2.236,-79.39023,,
A,right,C3,mu,8,2.236,4.204,-85.22398,,
A,right,C3,mu,9,1.092,1.26,-91.399925,,
A,right,C3,mu,10,0.0,4.252,-92.58418,,
A,right,C3,mu,11,0.0,2.272,-89.39131,,
A,right,C3,mu,12,0.208,0.968,-84.95001,,
A,right,C3,mu,13,0.416,2.26,-85.123695,,
A,right,C3,mu,14,0.576,2.156,-93.459305,,
A,right,C3,mu,15,0.936,2.584,-84.085884,,
A,right,C3,mu,16,0.056,0.76,-86.47394,,
A,right,C3,mu,17,0.192,1.316,-94.90507,,
A,right,C3,mu,18,1.304,2.576,-79.57893,,
A,right,C3,mu,19,2.488,3.748,-79.37764,,
A,right,C3,mu,20,1.712,2.084,-77.50767,,
A,right,C3,mu,21,0.292,2.128,-73.42112,,
A,right,C3,mu,22,0.176,2.992,-92.95951,,
A,right,C3,mu,23,0.436,1.176,-85.466995,,
A,right,C3,mu,24,0.248,2.888,-79.11784,,
A,right,C3,mu,25,0.132,3.64,-91.951805,,
A,right,C3,mu,26,0.0,0.792,-89.25702,,
A,right,C3,mu,27,0.044,0.56,-83.543144,,
A,right,C3,mu,28,0.776,1.732,-88.387215,,
A,right,C3,mu,29,0.0,2.56,-90.02218,,
A,right,C3,mu,30,0.26,0.724,-95.83925,,
A,right,C3,beta,0,1.176,1.872,-89.92953,7.692,62.281727
A,right,C3,beta,1,1.048,1.164,-85.654816,6.732,184.26352
A,right,C3,beta,2,0.74,3.952,-89.312096,6.852,114.90766
A,right,C3,beta,3,0.168,3.164,-89.84332,8.428,199.12482
A,right,C3,beta,4,0.648,1.556,-85.85448,8.336,79.56961
A,right,C3,beta,5,2.936,3.608,-73.955154,6.444,145.53017
