modality,model,end_s,fold,bal_acc
V,CSP+LDA,4.2,3,0.26666666666666666
V,CSP+LDA,4.2,4,0.4666666666666667
V,CSP+LDA,4.3,0,0.5
V,CSP+LDA,4.3,1,0.55
V,CSP+LDA,4.3,2,0.4166666666666667
V,CSP+LDA,4.3,3,0.3666666666666667
V,CSP+LDA,4.3,4,0.45
V,CSP+LDA,4.4,0,0.5
V,CSP+LDA,4.4,1,0.55
V,CSP+LDA,4.4,2,0.4166666666666667
V,CSP+LDA,4.4,3,0.3666666666666667
V,CSP+LDA,4.4,4,0.4666666666666667
V,CSP+LDA,4.5,0,0.5
V,CSP+LDA,4.5,1,0.55
V,CSP+LDA,4.5,2,0.4166666666666667
V,CSP+LDA,4.5,3,0.3666666666666667
V,CSP+LDA,4.5,4,0.3666666666666667
V,CSP+LDA,4.6,0,0.5
V,CSP+LDA,4.6,1,0.55
V,CSP+LDA,4.6,2,0.4166666666666667
V,CSP+LDA,4.6,3,0.3666666666666667
V,CSP+LDA,4.6,4,0.45
V,CSP+LDA,4.7,0,0.5
V,CSP+LDA,4.7,1,0.55
V,CSP+LDA,4.7,2,0.4166666666666667
V,CSP+LDA,4.7,3,0.3666666666666667
V,CSP+LDA,4.7,4,0.4666666666666667
V,CSP+LDA,4.8,0,0.5
V,CSP+LDA,4.8,1,0.55
V,CSP+LDA,4.8,2,0.4166666666666667
V,CSP+LDA,4.8,3,0.3666666666666667
V,CSP+LDA,4.8,4,0.55
V,CSP+LDA,4.9,0,0.5833333333333333
V,CSP+LDA,4.9,1,0.55
V,CSP+LDA,4.9,2,0.4166666666666667
V,CSP+LDA,4.9,3,0.3666666666666667
V,CSP+LDA,4.9,4,0.55
V,CSP+LDA,5.0,0,0.5833333333333333
V,CSP+LDA,5.0,1,0.55
V,CSP+LDA,5.0,2,0.4166666666666667
V,CSP+LDA,5.0,3,0.26666666666666666
V,CSP+LDA,5.0,4,0.45
A,CSP+LDA,0.1,0,0.5833333333333334
A,CSP+LDA,0.1,1,0.41666666666666663
A,CSP+LDA,0.1,2,0.5833333333333333
A,CSP+LDA,0.1,3,0.3833333333333333
A,CSP+LDA,0.1,4,0.4666666666666667
A,CSP+LDA,0.2,0,0.3333333333333333
A,CSP+LDA,0.2,1,0.5
A,CSP+LDA,0.2,2,0.5833333333333334
A,CSP+LDA,0.2,3,0.3666666666666667
A,CSP+LDA,0.2,4,0.7166666666666667
A,CSP+LDA,0.3,0,0.5
A,CSP+LDA,0.3,1,0.5833333333333334
A,CSP+LDA,0.3,2,0.5
A,CSP+LDA,0.3,3,0.43333333333333335
A,CSP+LDA,0.3,4,0.6166666666666667
A,CSP+LDA,0.4,0,0.3333333333333333
A,CSP+LDA,0.4,1,0.41666666666666663
A,CSP+LDA,0.4,2,0.41666666666666663
A,CSP+LDA,0.4,3,0.35
A,CSP+LDA,0.4,4,0.5333333333333333
A,CSP+LDA,0.5,0,0.6666666666666667
A,CSP+LDA,0.5,1,0.3333333333333333
A,CSP+LDA,0.5,2,0.5833333333333333
A,CSP+LDA,0.5,3,0.26666666666666666
A,CSP+LDA,0.5,4,0.7
A,CSP+LDA,0.6,0,0.41666666666666663
A,CSP+LDA,0.6,1,0.3333333333333333
A,CSP+LDA,0.6,2,0.5
A,CSP+LDA,0.6,3,0.35
A,CSP+LDA,0.6,4,0.3666666666666667
A,CSP+LDA,0.7,0,0.5
A,CSP+LDA,0.7,1,0.3333333333333333
A,CSP+LDA,0.7,2,0.5
A,CSP+LDA,0.7,3,0.35
A,CSP+LDA,0.7,4,0.7
A,CSP+LDA,0.8,0,0.5833333333333333
A,CSP+LDA,0.8,1,0.3333333333333333
A,CSP+LDA,0.8,2,0.5
A,CSP+LDA,0.8,3,0.26666666666666666
A,CSP+LDA,0.8,4,0.5166666666666667
A,CSP+LDA,0.9,0,0.5
