modality,model,end_s,mean_bal_acc,sem_bal_acc
VA,CSP+LDA,1.9,0.5166666666666666,0.07245688373094719
VA,CSP+LDA,2.0,0.49333333333333335,0.056421036266035854
VA,CSP+LDA,2.1,0.44000000000000006,0.04960958688712405
VA,CSP+LDA,2.2,0.48,0.05807083796728116
VA,CSP+LDA,2.3,0.4766666666666667,0.06293735862833069
VA,CSP+LDA,2.4,0.4066666666666666,0.05126185499743233
VA,CSP+LDA,2.5,0.44333333333333336,0.10692676621563627
VA,CSP+LDA,2.6,0.44333333333333336,0.10362861037806541
VA,CSP+LDA,2.7,0.4066666666666666,0.09553940431977677
VA,CSP+LDA,2.8,0.44333333333333336,0.09451631252505217
VA,CSP+LDA,2.9,0.39,0.07295356209413097
VA,CSP+LDA,3.0,0.39333333333333337,0.06637435917246627
VA,CSP+LDA,3.1,0.4133333333333334,0.05948856099191582
VA,CSP+LDA,3.2,0.47000000000000003,0.05562773089426213
VA,CSP+LDA,3.3,0.45,0.01394433377556793
VA,CSP+LDA,3.4,0.39666666666666667,0.05562773089426212
VA,CSP+LDA,3.5,0.4133333333333333,0.03431876713662334
VA,CSP+LDA,3.6,0.4133333333333334,0.022607766610417565
VA,CSP+LDA,3.7,0.4133333333333333,0.041298372311212896
VA,CSP+LDA,3.8,0.41,0.012472191289246468
VA,CSP+LDA,3.9,0.3933333333333333,0.030092450142112988
VA,CSP+LDA,4.0,0.4133333333333333,0.01929306150465038
VA,CSP+LDA,4.1,0.4133333333333333,0.01929306150465038
VA,CSP+LDA,4.2,0.38666666666666666,0.04196559437338057
VA,CSP+LDA,4.3,0.42333333333333334,0.060690471520110416
VA,CSP+LDA,4.4,0.42333333333333334,0.060690471520110416
VA,CSP+LDA,4.5,0.42333333333333334,0.044907311951024945
VA,CSP+LDA,4.6,0.38666666666666666,0.05487359211051443
VA,CSP+LDA,4.7,0.4066666666666666,0.05517648452415617
VA,CSP+LDA,4.8,0.37,0.06654154925892376
VA,CSP+LDA,4.9,0.42333333333333334,0.06924192692613662
VA,CSP+LDA,5.0,0.42000000000000004,0.08888194417315588
