modality,model,time_s,fold,bal_acc
V,CSP+LDA,-3.9,4,0.48333333333333334
V,CSP+LDA,-3.8,4,0.3833333333333333
V,CSP+LDA,-3.7,4,0.3833333333333333
V,CSP+LDA,-3.6,4,0.3833333333333333
V,CSP+LDA,-3.5,4,0.3833333333333333
V,CSP+LDA,-3.4,4,0.4666666666666667
V,CSP+LDA,-3.3,4,0.5666666666666667
V,CSP+LDA,-3.2,4,0.6666666666666666
V,CSP+LDA,-3.1,4,0.5666666666666667
V,CSP+LDA,-3.0,4,0.5666666666666667
V,CSP+LDA,-2.9,4,0.5666666666666667
V,CSP+LDA,-2.8,4,0.5666666666666667
V,CSP+LDA,-2.7,4,0.48333333333333334
V,CSP+LDA,-2.6,4,0.5833333333333334
V,CSP+LDA,-2.5,4,0.5833333333333334
V,CSP+LDA,-2.4,4,0.48333333333333334
V,CSP+LDA,-2.3,4,0.4
V,CSP+LDA,-2.2,4,0.4
V,CSP+LDA,-2.1,4,0.4
V,CSP+LDA,-2.0,4,0.4
V,CSP+LDA,-1.9,4,0.3
V,CSP+LDA,-1.7999999999999998,4,0.48333333333333334
V,CSP+LDA,-1.7000000000000002,4,0.4
V,CSP+LDA,-1.6,4,0.4
V,CSP+LDA,-1.5,4,0.5666666666666667
V,CSP+LDA,-1.4,4,0.48333333333333334
V,CSP+LDA,-1.2999999999999998,4,0.48333333333333334
V,CSP+LDA,-1.2000000000000002,4,0.48333333333333334
V,CSP+LDA,-1.1,4,0.48333333333333334
V,CSP+LDA,-1.0,4,0.3833333333333333
V,CSP+LDA,-0.8999999999999999,4,0.48333333333333334
V,CSP+LDA,-0.7999999999999998,4,0.5833333333333334
V,CSP+LDA,-0.7000000000000002,4,0.48333333333333334
V,CSP+LDA,-0.6000000000000001,4,0.48333333333333334
V,CSP+LDA,-0.5,4,0.48333333333333334
V,CSP+LDA,-0.40000000000000036,4,0.3833333333333333
V,CSP+LDA,-0.2999999999999998,4,0.4666666666666667
V,CSP+LDA,-0.20000000000000018,4,0.55
V,CSP+LDA,-0.09999999999999964,4,0.55
V,CSP+LDA,0.0,4,0.6333333333333333
V,CSP+LDA,0.09999999999999964,4,0.6333333333333333
V,CSP+LDA,0.20000000000000018,4,0.55
V,CSP+LDA,0.2999999999999998,4,0.6333333333333333
V,CSP+LDA,0.40000000000000036,4,0.6333333333333333
V,CSP+LDA,0.5,4,0.55
V,CSP+LDA,0.5999999999999996,4,0.65
V,CSP+LDA,0.7000000000000002,4,0.65
V,CSP+LDA,0.7999999999999998,4,0.65
V,CSP+LDA,0.9000000000000004,4,0.65
V,CSP+LDA,1.0,4,0.65
V,CSP+LDA,1.0999999999999996,4,0.5666666666666667
V,CSP+LDA,1.2000000000000002,4,0.5666666666666667
V,CSP+LDA,1.2999999999999998,4,0.65
V,CSP+LDA,1.4000000000000004,4,0.65
V,CSP+LDA,1.5,4,0.65
V,CSP+LDA,1.5999999999999996,4,0.65
V,CSP+LDA,1.7000000000000002,4,0.65
V,CSP+LDA,1.7999999999999998,4,0.65
V,CSP+LDA,1.9000000000000004,4,0.7333333333333334
V,CSP+LDA,2.0,4,0.6333333333333333
V,CSP+LDA,2.0999999999999996,4,0.7166666666666667
V,CSP+LDA,2.2,4,0.8166666666666667
V,CSP+LDA,2.3,4,0.8166666666666667
V,CSP+LDA,2.4000000000000004,4,0.65
V,CSP+LDA,2.5,4,0.5666666666666667
V,CSP+LDA,2.5999999999999996,4,0.55
V,CSP+LDA,2.7,4,0.65
V,CSP+LDA,2.8,4,0.65
V,CSP+LDA,2.9000000000000004,4,0.7333333333333334
V,CSP+LDA,3.0,4,0.7333333333333334
V,CSP+LDA,3.0999999999999996,4,0.65
V,CSP+LDA,3.2,4,0.48333333333333334
V,CSP+LDA,3.3,4,0.6666666666666666
V,CSP+LDA,3.4000000000000004,4,0.5833333333333334
V,CSP+LDA,3.5,4,0.5833333333333334
V,CSP+LDA,3.5999999999999996,4,0.5833333333333334
V,CSP+LDA,3.6999999999999993,4,0.5833333333333334
V,CSP+LDA,3.8000000000000007,4,0.5833333333333334
V,CSP+LDA,3.9000000000000004,4,0.5833333333333334
V,CSP+LDA,4.0,4,0.5833333333333334
V,CSP+LDA,4.1,4,0.48333333333333334
V,CSP+LDA,4.199999999999999,4,0.48333333333333334
V,CSP+LDA,4.300000000000001,4,0.48333333333333334
V,CSP+LDA,4.4,4,0.48333333333333334
V,CSP+LDA,4.5,4,0.4
V,CSP+LDA,4.6,4,0.48333333333333334
V,CSP+LDA,4.699999999999999,4,0.3833333333333333
V,CSP+LDA,4.800000000000001,4,0.3
V,CSP+LDA,4.9,4,0.4666666666666667
V,CSP+LDA,5.0,4,0.4666666666666667
V,CSP+LDA,5.1,4,0.3833333333333333
V,CSP+LDA,5.199999999999999,4,0.4666666666666667
V,CSP+LDA,5.300000000000001,4,0.55
V,CSP+LDA,5.4,4,0.55
V,CSP+LDA,5.5,4,0.55
V,CSP+LDA,5.6,4,0.4666666666666667
V,CSP+LDA,5.699999999999999,4,0.4666666666666667
V,CSP+LDA,5.800000000000001,4,0.65
V,CSP+LDA,5.9,4,0.4666666666666667
V,CSP+LDA,6.0,4,0.4666666666666667
V,CSP+LDA,6.1,4,0.3666666666666667
V,CSP+LDA,6.199999999999999,4,0.4666666666666667
V,CSP+LDA,6.300000000000001,4,0.48333333333333334
V,CSP+LDA,6.4,4,0.48333333333333334
V,CSP+LDA,6.5,4,0.4
V,CSP+LDA,6.6,4,0.4
V,CSP+LDA,6.699999999999999,4,0.4
V,CSP+LDA,6.800000000000001,4,0.4
V,CSP+LDA,6.9,4,0.4
V,CSP+LDA,7.0,4,0.4
V,CSP+LDA,7.1,4,0.4
V,CSP+LDA,7.199999999999999,4,0.4
V,CSP+LDA,7.300000000000001,4,0.4
V,CSP+LDA,7.4,4,0.48333333333333334
V,CSP+LDA,7.5,4,0.5666666666666667
V,CSP+LDA,7.6,4,0.4666666666666667
V,CSP+LDA,7.699999999999999,4,0.3833333333333333
V,CSP+LDA,7.800000000000001,4,0.3
V,CSP+LDA,7.9,4,0.3
V,CSP+LDA,8.0,4,0.3833333333333333
V,CSP+LDA,8.1,4,0.3
V,CSP+LDA,8.2,4,0.3
V,CSP+LDA,8.3,4,0.3
V,CSP+LDA,8.4,4,0.3
V,CSP+LDA,8.5,4,0.4
V,CSP+LDA,8.6,4,0.48333333333333334
V,CSP+LDA,8.7,4,0.48333333333333334
V,CSP+LDA,8.8,4,0.48333333333333334
V,CSP+LDA,8.9,4,0.48333333333333334
V,CSP+LDA,9.0,4,0.48333333333333334
A,CSP+LDA,-4.0,0,0.4857142857142857
A,CSP+LDA,-3.9,0,0.4857142857142857
A,CSP+LDA,-3.8,0,0.4857142857142857
A,CSP+LDA,-3.7,0,0.41428571428571426
A,CSP+LDA,-3.6,0,0.41428571428571426
A,CSP+LDA,-3.5,0,0.41428571428571426
A,CSP+LDA,-3.4,0,0.41428571428571426
A,CSP+LDA,-3.3,0,0.41428571428571426
A,CSP+LDA,-3.2,0,0.41428571428571426
A,CSP+LDA,-3.1,0,0.41428571428571426
A,CSP+LDA,-3.0,0,0.41428571428571426
A,CSP+LDA,-2.9,0,0.41428571428571426
A,CSP+LDA,-2.8,0,0.4857142857142857
A,CSP+LDA,-2.7,0,0.4857142857142857
A,CSP+LDA,-2.6,0,0.41428571428571426
A,CSP+LDA,-2.5,0,0.4857142857142857
A,CSP+LDA,-2.4,0,0.4857142857142857
A,CSP+LDA,-2.3,0,0.41428571428571426
A,CSP+LDA,-2.2,0,0.41428571428571426
A,CSP+LDA,-2.1,0,0.41428571428571426
A,CSP+LDA,-2.0,0,0.34285714285714286
A,CSP+LDA,-1.9,0,0.41428571428571426
A,CSP+LDA,-1.7999999999999998,0,0.41428571428571426
A,CSP+LDA,-1.7000000000000002,0,0.41428571428571426
A,CSP+LDA,-1.6,0,0.41428571428571426
A,CSP+LDA,-1.5,0,0.41428571428571426
A,CSP+LDA,-1.4,0,0.4857142857142857
A,CSP+LDA,-1.2999999999999998,0,0.4857142857142857
A,CSP+LDA,-1.2000000000000002,0,0.4857142857142857
A,CSP+LDA,-1.1,0,0.4857142857142857
A,CSP+LDA,-1.0,0,0.4857142857142857
A,CSP+LDA,-0.8999999999999999,0,0.4857142857142857
A,CSP+LDA,-0.7999999999999998,0,0.41428571428571426
A,CSP+LDA,-0.7000000000000002,0,0.41428571428571426
A,CSP+LDA,-0.6000000000000001,0,0.41428571428571426
A,CSP+LDA,-0.5,0,0.4857142857142857
A,CSP+LDA,-0.40000000000000036,0,0.4857142857142857
A,CSP+LDA,-0.2999999999999998,0,0.4857142857142857
A,CSP+LDA,-0.20000000000000018,0,0.41428571428571426
A,CSP+LDA,-0.09999999999999964,0,0.4857142857142857
A,CSP+LDA,0.0,0,0.4857142857142857
A,CSP+LDA,0.09999999999999964,0,0.4857142857142857
A,CSP+LDA,0.20000000000000018,0,0.41428571428571426
A,CSP+LDA,0.2999999999999998,0,0.41428571428571426
A,CSP+LDA,0.40000000000000036,0,0.34285714285714286
A,CSP+LDA,0.5,0,0.34285714285714286
A,CSP+LDA,0.5999999999999996,0,0.34285714285714286
A,CSP+LDA,0.7000000000000002,0,0.41428571428571426
A,CSP+LDA,0.7999999999999998,0,0.41428571428571426
A,CSP+LDA,0.9000000000000004,0,0.4857142857142857
A,CSP+LDA,1.0,0,0.4857142857142857
A,CSP+LDA,1.0999999999999996,0,0.4857142857142857
A,CSP+LDA,1.2000000000000002,0,0.4857142857142857
A,CSP+LDA,1.2999999999999998,0,0.4857142857142857
A,CSP+LDA,1.4000000000000004,0,0.4857142857142857
A,CSP+LDA,1.5,0,0.4857142857142857
A,CSP+LDA,1.5999999999999996,0,0.4857142857142857
A,CSP+LDA,1.7000000000000002,0,0.4857142857142857
A,CSP+LDA,1.7999999999999998,0,0.4857142857142857
A,CSP+LDA,1.9000000000000004,0,0.4857142857142857
A,CSP+LDA,2.0,0,0.4857142857142857
A,CSP+LDA,2.0999999999999996,0,0.41428571428571426
A,CSP+LDA,2.2,0,0.4857142857142857
A,CSP+LDA,2.3,0,0.41428571428571426
A,CSP+LDA,2.4000000000000004,0,0.41428571428571426
A,CSP+LDA,2.5,0,0.41428571428571426
A,CSP+LDA,2.5999999999999996,0,0.41428571428571426
A,CSP+LDA,2.7,0,0.41428571428571426
A,CSP+LDA,2.8,0,0.5571428571428572
A,CSP+LDA,2.9000000000000004,0,0.4857142857142857
A,CSP+LDA,3.0,0,0.5571428571428572
A,CSP+LDA,3.0999999999999996,0,0.5571428571428572
A,CSP+LDA,3.2,0,0.4857142857142857
A,CSP+LDA,3.3,0,0.5571428571428572
A,CSP+LDA,3.4000000000000004,0,0.5571428571428572
A,CSP+LDA,3.5,0,0.4857142857142857
A,CSP+LDA,3.5999999999999996,0,0.4857142857142857
A,CSP+LDA,3.6999999999999993,0,0.41428571428571426
A,CSP+LDA,3.8000000000000007,0,0.34285714285714286
A,CSP+LDA,3.9000000000000004,0,0.34285714285714286
A,CSP+LDA,4.0,0,0.34285714285714286
A,CSP+LDA,4.1,0,0.34285714285714286
A,CSP+LDA,4.199999999999999,0,0.34285714285714286
A,CSP+LDA,4.300000000000001,0,0.34285714285714286
A,CSP+LDA,4.4,0,0.27142857142857146
A,CSP+LDA,4.5,0,0.27142857142857146
A,CSP+LDA,4.6,0,0.34285714285714286
A,CSP+LDA,4.699999999999999,0,0.34285714285714286
A,CSP+LDA,4.800000000000001,0,0.34285714285714286
A,CSP+LDA,4.9,0,0.34285714285714286
A,CSP+LDA,5.0,0,0.34285714285714286
A,CSP+LDA,5.1,0,0.34285714285714286
A,CSP+LDA,5.199999999999999,0,0.34285714285714286
A,CSP+LDA,5.300000000000001,0,0.27142857142857146
A,CSP+LDA,5.4,0,0.27142857142857146
A,CSP+LDA,5.5,0,0.27142857142857146
A,CSP+LDA,5.6,0,0.27142857142857146
A,CSP+LDA,5.699999999999999,0,0.34285714285714286
A,CSP+LDA,5.800000000000001,0,0.34285714285714286
A,CSP+LDA,5.9,0,0.41428571428571426
A,CSP+LDA,6.0,0,0.34285714285714286
A,CSP+LDA,6.1,0,0.41428571428571426
A,CSP+LDA,6.199999999999999,0,0.34285714285714286
A,CSP+LDA,6.300000000000001,0,0.34285714285714286
A,CSP+LDA,6.4,0,0.34285714285714286
A,CSP+LDA,6.5,0,0.34285714285714286
A,CSP+LDA,6.6,0,0.34285714285714286
A,CSP+LDA,6.699999999999999,0,0.41428571428571426
A,CSP+LDA,6.800000000000001,0,0.41428571428571426
A,CSP+LDA,6.9,0,0.41428571428571426
A,CSP+LDA,7.0,0,0.41428571428571426
A,CSP+LDA,7.1,0,0.4857142857142857
A,CSP+LDA,7.199999999999999,0,0.41428571428571426
A,CSP+LDA,7.300000000000001,0,0.41428571428571426
A,CSP+LDA,7.4,0,0.41428571428571426
A,CSP+LDA,7.5,0,0.34285714285714286
A,CSP+LDA,7.6,0,0.34285714285714286
A,CSP+LDA,7.699999999999999,0,0.34285714285714286
A,CSP+LDA,7.800000000000001,0,0.34285714285714286
A,CSP+LDA,7.9,0,0.41428571428571426
A,CSP+LDA,8.0,0,0.41428571428571426
A,CSP+LDA,8.1,0,0.41428571428571426
A,CSP+LDA,8.2,0,0.41428571428571426
A,CSP+LDA,8.3,0,0.41428571428571426
A,CSP+LDA,8.4,0,0.41428571428571426
A,CSP+LDA,8.5,0,0.27142857142857146
A,CSP+LDA,8.6,0,0.27142857142857146
A,CSP+LDA,8.7,0,0.27142857142857146
A,CSP+LDA,8.8,0,0.34285714285714286
A,CSP+LDA,8.9,0,0.41428571428571426
A,CSP+LDA,9.0,0,0.34285714285714286
A,CSP+LDA,-4.0,1,0.25
A,CSP+LDA,-3.9,1,0.25
A,CSP+LDA,-3.8,1,0.25
A,CSP+LDA,-3.7,1,0.25
A,CSP+LDA,-3.6,1,0.25
A,CSP+LDA,-3.5,1,0.25
A,CSP+LDA,-3.4,1,0.25
A,CSP+LDA,-3.3,1,0.25
A,CSP+LDA,-3.2,1,0.25
A,CSP+LDA,-3.1,1,0.25
A,CSP+LDA,-3.0,1,0.25
A,CSP+LDA,-2.9,1,0.25
A,CSP+LDA,-2.8,1,0.25
A,CSP+LDA,-2.7,1,0.25
A,CSP+LDA,-2.6,1,0.25
A,CSP+LDA,-2.5,1,0.25
A,CSP+LDA,-2.4,1,0.25
A,CSP+LDA,-2.3,1,0.25
A,CSP+LDA,-2.2,1,0.25
A,CSP+LDA,-2.1,1,0.25
A,CSP+LDA,-2.0,1,0.25
A,CSP+LDA,-1.9,1,0.25
A,CSP+LDA,-1.7999999999999998,1,0.25
A,CSP+LDA,-1.7000000000000002,1,0.3333333333333333
A,CSP+LDA,-1.6,1,0.3333333333333333
A,CSP+LDA,-1.5,1,0.25
A,CSP+LDA,-1.4,1,0.3333333333333333
A,CSP+LDA,-1.2999999999999998,1,0.3333333333333333
A,CSP+LDA,-1.2000000000000002,1,0.3333333333333333
A,CSP+LDA,-1.1,1,0.3333333333333333
A,CSP+LDA,-1.0,1,0.3333333333333333
A,CSP+LDA,-0.8999999999999999,1,0.3333333333333333
A,CSP+LDA,-0.7999999999999998,1,0.3333333333333333
A,CSP+LDA,-0.7000000000000002,1,0.41666666666666663
A,CSP+LDA,-0.6000000000000001,1,0.41666666666666663
A,CSP+LDA,-0.5,1,0.41666666666666663
A,CSP+LDA,-0.40000000000000036,1,0.3333333333333333
A,CSP+LDA,-0.2999999999999998,1,0.3333333333333333
A,CSP+LDA,-0.20000000000000018,1,0.3333333333333333
A,CSP+LDA,-0.09999999999999964,1,0.3333333333333333
A,CSP+LDA,0.0,1,0.3333333333333333
A,CSP+LDA,0.09999999999999964,1,0.3333333333333333
A,CSP+LDA,0.20000000000000018,1,0.25
A,CSP+LDA,0.2999999999999998,1,0.25
A,CSP+LDA,0.40000000000000036,1,0.25
A,CSP+LDA,0.5,1,0.25
A,CSP+LDA,0.5999999999999996,1,0.25
A,CSP+LDA,0.7000000000000002,1,0.25
A,CSP+LDA,0.7999999999999998,1,0.25
A,CSP+LDA,0.9000000000000004,1,0.3333333333333333
A,CSP+LDA,1.0,1,0.3333333333333333
A,CSP+LDA,1.0999999999999996,1,0.3333333333333333
A,CSP+LDA,1.2000000000000002,1,0.3333333333333333
A,CSP+LDA,1.2999999999999998,1,0.3333333333333333
A,CSP+LDA,1.4000000000000004,1,0.3333333333333333
A,CSP+LDA,1.5,1,0.3333333333333333
A,CSP+LDA,1.5999999999999996,1,0.3333333333333333
A,CSP+LDA,1.7000000000000002,1,0.3333333333333333
A,CSP+LDA,1.7999999999999998,1,0.3333333333333333
A,CSP+LDA,1.9000000000000004,1,0.3333333333333333
A,CSP+LDA,2.0,1,0.3333333333333333
A,CSP+LDA,2.0999999999999996,1,0.3333333333333333
A,CSP+LDA,2.2,1,0.3333333333333333
A,CSP+LDA,2.3,1,0.3333333333333333
A,CSP+LDA,2.4000000000000004,1,0.3333333333333333
A,CSP+LDA,2.5,1,0.3333333333333333
A,CSP+LDA,2.5999999999999996,1,0.3333333333333333
A,CSP+LDA,2.7,1,0.3333333333333333
A,CSP+LDA,2.8,1,0.3333333333333333
A,CSP+LDA,2.9000000000000004,1,0.25
A,CSP+LDA,3.0,1,0.25
A,CSP+LDA,3.0999999999999996,1,0.25
A,CSP+LDA,3.2,1,0.25
A,CSP+LDA,3.3,1,0.25
A,CSP+LDA,3.4000000000000004,1,0.25
A,CSP+LDA,3.5,1,0.25
A,CSP+LDA,3.5999999999999996,1,0.3333333333333333
A,CSP+LDA,3.6999999999999993,1,0.3333333333333333
A,CSP+LDA,3.8000000000000007,1,0.3333333333333333
A,CSP+LDA,3.9000000000000004,1,0.3333333333333333
A,CSP+LDA,4.0,1,0.3333333333333333
A,CSP+LDA,4.1,1,0.3333333333333333
A,CSP+LDA,4.199999999999999,1,0.3333333333333333
A,CSP+LDA,4.300000000000001,1,0.3333333333333333
A,CSP+LDA,4.4,1,0.3333333333333333
A,CSP+LDA,4.5,1,0.3333333333333333
A,CSP+LDA,4.6,1,0.3333333333333333
A,CSP+LDA,4.699999999999999,1,0.3333333333333333
A,CSP+LDA,4.800000000000001,1,0.3333333333333333
A,CSP+LDA,4.9,1,0.3333333333333333
A,CSP+LDA,5.0,1,0.3333333333333333
A,CSP+LDA,5.1,1,0.3333333333333333
A,CSP+LDA,5.199999999999999,1,0.3333333333333333
A,CSP+LDA,5.300000000000001,1,0.3333333333333333
A,CSP+LDA,5.4,1,0.3333333333333333
A,CSP+LDA,5.5,1,0.3333333333333333
A,CSP+LDA,5.6,1,0.41666666666666663
A,CSP+LDA,5.699999999999999,1,0.41666666666666663
A,CSP+LDA,5.800000000000001,1,0.41666666666666663
A,CSP+LDA,5.9,1,0.41666666666666663
A,CSP+LDA,6.0,1,0.3333333333333333
