modality,hand,channel,band,metric,unit,n_total,n_valid,prop_valid,mean,std,sem,median,mad,q1,q3,iqr,median_lo,median_hi
V,right,C3,mu,erd_peak_amp_pct,%,26,26,1.0,-83.48519325256348,12.985727887301833,2.5467107652137715,-85.75640869140625,6.795616149902344,-92.23048400878906,-78.50168228149414,13.728801727294922,-90.24884796142578,-80.13806915283203
V,right,C4,beta,erd_peak_amp_pct,%,22,22,1.0,-81.71936069835316,8.459763992794446,1.8036277434631751,-82.11368179321289,5.541599273681641,-88.01022529602051,-76.92405319213867,11.086172103881836,-87.22477722167969,-78.10061645507812
V,right,C4,mu,erd_peak_amp_pct,%,25,25,1.0,-82.92888214111328,8.786436120868164,1.7572872241736328,-84.48588562011719,6.5834197998046875,-90.57853698730469,-75.98636627197266,14.592170715332031,-89.42161560058594,-78.85616302490234
VA,left,C3,beta,erd_peak_amp_pct,%,23,23,1.0,-82.66854709127675,8.396728965237315,1.7508390201825266,-85.38602447509766,3.9320755004882812,-88.49516296386719,-79.05818176269531,9.436981201171875,-88.01167297363281,-81.36356601715103
VA,left,C3,mu,erd_peak_amp_pct,%,23,23,1.0,-84.51467945264733,9.807587777047711,2.045023418644432,-89.4477767944336,4.1883544921875,-91.14576721191406,-79.71823501586914,11.427532196044922,-90.483154296875,-83.11600494384766
VA,left,C4,beta,erd_peak_amp_pct,%,25,25,1.0,-81.74155853271485,6.718287205109608,1.3436574410219215,-81.30001831054688,4.159324645996094,-85.45934295654297,-77.53819274902344,7.921150207519531,-84.84193420410156,-78.4061508178711
VA,left,C4,mu,erd_peak_amp_pct,%,25,25,1.0,-80.59673545837403,13.566621577349956,2.713324315469991,-82.3281478881836,6.356689453125,-88.75275421142578,-79.09685516357422,9.655899047851562,-88.2152099609375,-79.66320037841797
VA,right,C3,beta,erd_peak_amp_pct,%,23,23,1.0,-80.94415150518003,5.49625835130101,1.146049089627834,-81.19859313964844,3.9118728637695312,-84.29271697998047,-77.7490005493164,6.5437164306640625,-82.74337768554688,-78.2112808227539
VA,right,C3,mu,erd_peak_amp_pct,%,25,25,1.0,-85.37044921875,8.303661469460708,1.6607322938921416,-86.67019653320312,3.8115768432617188,-90.13736724853516,-82.61687469482422,7.5204925537109375,-90.12199401855469,-83.55695343017578
VA,right,C4,beta,erd_peak_amp_pct,%,24,24,1.0,-81.77521928151448,5.596194665554016,1.1423184526577084,-82.33914947509766,3.6099891662597656,-85.16669845581055,-78.0972671508789,7.069431304931641,-84.59721374511719,-80.68831634521484
VA,right,C4,mu,erd_peak_amp_pct,%,28,28,1.0,-84.98745237077985,10.868218352340973,2.053900211045884,-88.53952407836914,4.336406707763672,-92.31464576721191,-81.47647857666016,10.838167190551758,-91.7145004272461,-83.34794340133668
A,left,C3,beta,erd_peak_s,s,25,25,1.0,2.02096,1.279377077591539,0.2558754155183078,1.704,0.8520000000000001,0.892,2.956,2.064,0.9,2.556
A,left,C3,mu,erd_peak_s,s,26,26,1.0,2.1721538461538463,1.194473396683499,0.23425550608294682,1.876,0.7259999999999999,1.2269999999999999,3.409,2.182,1.284,2.88
A,left,C4,beta,erd_peak_s,s,20,20,1.0,1.8874,0.8296426878323487,0.18551374470287693,1.6320000000000001,0.4660000000000002,1.3699999999999999,2.365,0.9950000000000003,1.498,2.228
A,left,C4,mu,erd_peak_s,s,21,21,1.0,1.8956190476190475,0.573293509137377,0.12510290004994704,1.98,0.31200000000000006,1.576,2.112,0.536,1.668,2.088
A,right,C3,beta,erd_peak_s,s,30,30,1.0,2.381466666666667,1.1071372133549673,0.20213467533597515,2.51,0.9439999999999997,1.466,3.224,1.7580000000000002,1.6600000000000001,2.996
A,right,C3,mu,erd_peak_s,s,24,24,1.0,2.1008333333333336,1.0991860888725868,0.22437042084194672,2.1420000000000003,0.838,1.17,2.828,1.658,1.26,2.684
A,right,C4,beta,erd_peak_s,s,23,23,1.0,1.992695652173913,1.0887214534315264,0.22701411593364154,1.744,0.78,1.224,2.646,1.422,1.24,2.336
A,right,C4,mu,erd_peak_s,s,28,28,1.0,2.2958571428571433,1.1219884370661102,0.2120358841690694,2.262,0.952,1.3130000000000002,3.145,1.8319999999999999,1.596,2.888
V,left,C3,beta,erd_peak_s,s,24,24,1.0,2.5561666666666665,1.1132682659108082,0.22724493319287836,2.418,0.9699999999999998,1.6190000000000002,3.514,1.8949999999999996,1.732,3.36
V,left,C3,mu,erd_peak_s,s,20,20,1.0,2.8518,1.1858687066761162,0.26516830405175545,2.934,0.9840000000000002,1.9729999999999999,3.834,1.8610000000000002,2.056,3.748
V,left,C4,beta,erd_peak_s,s,26,26,1.0,2.3101538461538462,1.1993487463555441,0.2352116408180755,2.06,1.03,1.354,3.447,2.093,1.45,3.368
V,left,C4,mu,erd_peak_s,s,23,23,1.0,2.4869565217391307,1.2472878022573934,0.26007748524823693,2.6,1.2040000000000002,1.3159999999999998,3.542,2.226,1.396,3.336
V,right,C3,beta,erd_peak_s,s,23,23,1.0,2.260173913043478,1.255520162112244,0.2617940509396781,2.608,1.076,0.9099999999999999,3.2279999999999998,2.3179999999999996,1.496,2.832
V,right,C3,mu,erd_peak_s,s,26,26,1.0,2.5175384615384613,1.2004431591964437,0.23542627283467835,2.502,1.056,1.482,3.46,1.978,1.66,3.132
V,right,C4,beta,erd_peak_s,s,22,22,1.0,2.151090909090909,1.104202142858984,0.2354166878589355,1.914,0.836,1.377,2.852,1.4749999999999999,1.548,2.816
V,right,C4,mu,erd_peak_s,s,25,25,1.0,2.5496,1.1345971384886648,0.22691942769773296,2.708,0.7120000000000002,1.996,3.396,1.4,2.08,3.176
VA,left,C3,beta,erd_peak_s,s,23,23,1.0,2.6959999999999997,1.2885605781787537,0.2686834539359883,2.836,1.016,1.6560000000000001,3.6100000000000003,1.9540000000000002,1.992,3.524
VA,left,C3,mu,erd_peak_s,s,23,23,1.0,2.217565217391304,1.3371550473125244,0.27881610119383116,2.004,1.2999999999999998,1.006,3.474,2.468,1.124,3.444
